S.no,Armature Current,Armature Voltage,Electrical Torque,Speed(RPM),Power Input,Failure,Status
1,19.04745617,235.7122698,21.85468575,1831.165682,4489.719129,0,Normal
2,19.06470698,235.7105604,21.87455462,1831.039946,4493.752766,0,Normal
3,19.08195778,235.708851,21.89442349,1830.914209,4497.786345,0,Normal
4,19.09920859,235.7071416,21.91429237,1830.788472,4501.819864,0,Normal
5,19.1164594,235.7054322,21.93416124,1830.662735,4505.853325,0,Normal
6,19.1337102,235.7037228,21.95403012,1830.536998,4509.886727,0,Normal
7,19.15096101,235.7020134,21.97389899,1830.411261,4513.92007,0,Normal
8,19.16821182,235.7003041,21.99376787,1830.285525,4517.953353,0,Normal
9,19.18546262,235.6985947,22.01363674,1830.159788,4521.986578,0,Normal
10,19.20271343,235.6968853,22.03350562,1830.034051,4526.019744,0,Normal
11,19.21996424,235.6951759,22.05337449,1829.908314,4530.052851,0,Normal
12,19.23721504,235.6934665,22.07324336,1829.782577,4534.085899,0,Normal
13,19.25446585,235.6917571,22.09311224,1829.65684,4538.118887,0,Normal
14,19.27171665,235.6900477,22.11298111,1829.531103,4542.151817,0,Normal
15,19.28896746,235.6883383,22.13284999,1829.405367,4546.184688,0,Normal
16,19.30621827,235.6866289,22.15271886,1829.27963,4550.2175,0,Normal
17,19.32346907,235.6849195,22.17258774,1829.153893,4554.250253,0,Normal
18,19.34071988,235.6832101,22.19245661,1829.028156,4558.282947,0,Normal
19,19.35797069,235.6815007,22.21232548,1828.902419,4562.315582,0,Normal
20,19.37522149,235.6797913,22.23219436,1828.776682,4566.348158,0,Normal
21,19.3924723,235.6780819,22.25206323,1828.650946,4570.380675,0,Normal
22,19.40972311,235.6763725,22.27193211,1828.525209,4574.413133,0,Normal
23,19.42697391,235.6746631,22.29180098,1828.399472,4578.445533,0,Normal
24,19.44422472,235.6729537,22.31166986,1828.273735,4582.477873,0,Normal
25,19.46147552,235.6712444,22.33153873,1828.147998,4586.510154,0,Normal
26,19.47872633,235.669535,22.35140761,1828.022261,4590.542376,0,Normal
27,19.49597714,235.6678256,22.37127648,1827.896524,4594.574539,0,Normal
28,19.51322794,235.6661162,22.39114535,1827.770788,4598.606643,0,Normal
29,19.53047875,235.6644068,22.41101423,1827.645051,4602.638689,0,Normal
30,19.54772956,235.6626974,22.4308831,1827.519314,4606.670675,0,Normal
31,19.56498036,235.660988,22.45075198,1827.393577,4610.702602,0,Normal
32,19.58223117,235.6592786,22.47062085,1827.26784,4614.734471,0,Normal
33,19.59948198,235.6575692,22.49048973,1827.142103,4618.76628,0,Normal
34,19.61673278,235.6558598,22.5103586,1827.016367,4622.79803,0,Normal
35,19.63398359,235.6541504,22.53022747,1826.89063,4626.829722,0,Normal
36,19.65123439,235.652441,22.55009635,1826.764893,4630.861354,0,Normal
37,19.6684852,235.6507316,22.56996522,1826.639156,4634.892927,0,Normal
38,19.68573601,235.6490222,22.5898341,1826.513419,4638.924442,0,Normal
39,19.70298681,235.6473128,22.60970297,1826.387682,4642.955897,0,Normal
40,19.72023762,235.6456034,22.62957185,1826.261945,4646.987294,0,Normal
41,19.73748843,235.643894,22.64944072,1826.136209,4651.018631,0,Normal
42,19.75473923,235.6421847,22.66930959,1826.010472,4655.04991,0,Normal
43,19.77199004,235.6404753,22.68917847,1825.884735,4659.081129,0,Normal
44,19.78924085,235.6387659,22.70904734,1825.758998,4663.11229,0,Normal
45,19.80649165,235.6370565,22.72891622,1825.633261,4667.143392,0,Normal
46,19.82374246,235.6353471,22.74878509,1825.507524,4671.174434,0,Normal
47,19.84099326,235.6336377,22.76865397,1825.381787,4675.205418,0,Normal
48,19.85824407,235.6319283,22.78852284,1825.256051,4679.236343,0,Normal
49,19.87549488,235.6302189,22.80839172,1825.130314,4683.267208,0,Normal
50,19.89274568,235.6285095,22.82826059,1825.004577,4687.298015,0,Normal
51,19.90999649,235.6268001,22.84812946,1824.87884,4691.328763,0,Normal
52,19.9272473,235.6250907,22.86799834,1824.753103,4695.359452,0,Normal
53,19.9444981,235.6233813,22.88786721,1824.627366,4699.390081,0,Normal
54,19.96174891,235.6216719,22.90773609,1824.50163,4703.420652,0,Normal
55,19.97899971,235.6199625,22.92760496,1824.375893,4707.451164,0,Normal
56,19.99625052,235.6182531,22.94747384,1824.250156,4711.481617,0,Normal
57,20.01350133,235.6165437,22.96734271,1824.124419,4715.512011,0,Normal
58,20.03075213,235.6148343,22.98721158,1823.998682,4719.542346,0,Normal
59,20.04800294,235.6131249,23.00708046,1823.872945,4723.572622,0,Normal
60,20.06525375,235.6114156,23.02694933,1823.747208,4727.602839,0,Normal
61,20.08250455,235.6097062,23.04681821,1823.621472,4731.632997,0,Normal
62,20.09975536,235.6079968,23.06668708,1823.495735,4735.663096,0,Normal
63,20.11700617,235.6062874,23.08655596,1823.369998,4739.693136,0,Normal
64,20.13425697,235.604578,23.10642483,1823.244261,4743.723117,0,Normal
65,20.15150778,235.6028686,23.12629371,1823.118524,4747.753039,0,Normal
66,20.16875858,235.6011592,23.14616258,1822.992787,4751.782902,0,Normal
67,20.18600939,235.5994498,23.16603145,1822.867051,4755.812706,0,Normal
68,20.2032602,235.5977404,23.18590033,1822.741314,4759.842451,0,Normal
69,20.220511,235.596031,23.2057692,1822.615577,4763.872137,0,Normal
70,20.23776181,235.5943216,23.22563808,1822.48984,4767.901765,0,Normal
71,20.25501262,235.5926122,23.24550695,1822.364103,4771.931333,0,Normal
72,20.27226342,235.5909028,23.26537583,1822.238366,4775.960842,0,Normal
